Observationsstation;År;Månad;Dag;Tid [Lokal tid];Lufttemperatur [°C];Daggpunktstemperatur [°C];Molnighet [1/8];Lufttryck [hPa];Relativ luftfuktighet [%];Nederbördsmängd [mm];Snödjup [cm];Horisontell sikt [m];Vindriktning [°];Byvindshastighet [m/s];Vindhastighet [m/s]
Helsingfors Kajsaniemi;2025;1;1;13:00;0,5;0,3;Mulet (8/8);983,2;98;0;6;6910;60;2,6;1,2
Helsingfors Kajsaniemi;2025;1;1;13:10;0,5;0,3;Mulet (8/8);983,1;98;0,08;6;5240;49;2,6;1,7
Helsingfors Kajsaniemi;2025;1;1;13:20;0,5;0,3;Mulet (8/8);983;98;0,02;6;8180;52;2,2;1,3
Helsingfors Kajsaniemi;2025;1;1;13:30;0,5;0,3;Mulet (8/8);982,8;98;0,08;6;8080;49;1,8;1,1
Helsingfors Kajsaniemi;2025;1;1;13:40;0,6;0,4;Mulet (8/8);982,7;98;0,05;6;8470;17;1,7;1
Helsingfors Kajsaniemi;2025;1;1;13:50;0,6;0,4;Mulet (8/8);982,6;99;0;6;5890;2;2,1;1,1
Helsingfors Kajsaniemi;2025;1;1;14:00;0,6;0,4;Mulet (8/8);982,5;99;0;6;4900;1;2,4;1,3
Helsingfors Kajsaniemi;2025;1;1;14:10;0,5;0,3;Mulet (8/8);982,3;98;0;6;6210;348;3,9;1,8
Helsingfors Kajsaniemi;2025;1;1;14:20;0,5;0,3;Mulet (8/8);982,2;99;0;6;11140;342;3,1;1,7
Helsingfors Kajsaniemi;2025;1;1;14:30;0,4;0,2;Mulet (8/8);982,2;99;0;6;13850;341;3,3;2
Helsingfors Kajsaniemi;2025;1;1;14:40;0,3;0,1;Mulet (8/8);982,1;99;0;6;14150;322;3,1;2,2
Helsingfors Kajsaniemi;2025;1;1;14:50;0,2;0;Mulet (8/8);982,2;98;0;6;15030;325;4,6;3
Helsingfors Kajsaniemi;2025;1;1;15:00;-0,1;-0,3;Mulet (8/8);982,2;98;0;6;12390;330;5,3;4,2
Helsingfors Kajsaniemi;2025;1;1;15:10;-0,4;-0,6;Mulet (8/8);982,1;98;0;6;15450;336;5,4;4,2
Helsingfors Kajsaniemi;2025;1;1;15:20;-0,5;-0,8;Mulet (8/8);982,1;98;0;6;15460;337;5,2;3,7
Helsingfors Kajsaniemi;2025;1;1;15:30;-0,6;-0,9;Mulet (8/8);982,1;98;0;6;18080;340;5;3,1
Helsingfors Kajsaniemi;2025;1;1;15:40;-0,8;-1;Mulet (8/8);982;98;0;6;23360;339;5,1;2,9
Helsingfors Kajsaniemi;2025;1;1;15:50;-0,9;-1,2;Mulet (8/8);982;98;0;6;22560;339;5,5;3,6
Helsingfors Kajsaniemi;2025;1;1;16:00;-1;-1,4;Mulet (8/8);982,1;98;0;6;20050;333;6;4,4
Helsingfors Kajsaniemi;2025;1;1;16:10;-1,2;-1,5;Mulet (8/8);982,1;97;0;6;20390;341;5,9;3,7
Helsingfors Kajsaniemi;2025;1;1;16:20;-1,2;-1,6;Mulet (8/8);982,2;97;0;6;9230;340;5,3;3,4
Helsingfors Kajsaniemi;2025;1;1;16:30;-1,2;-1,7;Mulet (8/8);982,2;96;0;6;6510;332;5,8;3,9
Helsingfors Kajsaniemi;2025;1;1;16:40;-1,4;-2,1;Mulet (8/8);982,1;95;0;6;7900;337;5,5;3,8
Helsingfors Kajsaniemi;2025;1;1;16:50;-1,5;-2,2;Mulet (8/8);982,1;95;0;6;8580;339;5,8;3,6
Helsingfors Kajsaniemi;2025;1;1;17:00;-1,6;-2,4;Mulet (8/8);982,2;94;0;6;8430;336;6,1;4
Helsingfors Kajsaniemi;2025;1;1;17:10;-1,7;-2,6;Mulet (8/8);982,1;94;0;6;7320;341;5,3;3,6
Helsingfors Kajsaniemi;2025;1;1;17:20;-1,9;-2,8;Mulet (8/8);982,2;93;0;6;7030;339;6,1;3,8
Helsingfors Kajsaniemi;2025;1;1;17:30;-2;-3,1;Mulet (8/8);982,5;92;0;6;11720;338;7;4,4
Helsingfors Kajsaniemi;2025;1;1;17:40;-2,1;-3,1;Mulet (8/8);982,6;93;0;6;35380;332;6,1;4,2
Helsingfors Kajsaniemi;2025;1;1;17:50;-2,2;-3,3;Mulet (8/8);982,6;92;0;6;42210;333;6,4;4,4
Helsingfors Kajsaniemi;2025;1;1;18:00;-2,3;-3,5;Mulet (8/8);982,5;92;0;6;43020;341;6,7;5
Helsingfors Kajsaniemi;2025;1;1;18:10;-2,4;-3,7;Mulet (8/8);982,6;91;0;6;29380;348;7,3;4
Helsingfors Kajsaniemi;2025;1;1;18:20;-2,6;-3,9;Mulet (8/8);982,6;91;0;6;32450;345;6,4;4,4
Helsingfors Kajsaniemi;2025;1;1;18:30;-2,7;-4,1;Molnigt (7/8);982,7;90;0;6;34960;343;5,6;3,7
Helsingfors Kajsaniemi;2025;1;1;18:40;-2,9;-4,2;Molnigt (7/8);982,9;91;0;6;47220;338;6,3;4,2
Helsingfors Kajsaniemi;2025;1;1;18:50;-3;-4,3;Molnigt (7/8);983;90;0;6;50000;334;6,3;3,9
Helsingfors Kajsaniemi;2025;1;1;19:00;-3;-4,4;Mulet (8/8);983;90;0;5;50000;334;5,6;3,8
Helsingfors Kajsaniemi;2025;1;1;19:10;-3,1;-4,5;Mulet (8/8);983;90;0;6;50000;330;5,5;3,9
Helsingfors Kajsaniemi;2025;1;1;19:20;-3,1;-4,6;Mulet (8/8);982,9;89;0;6;50000;335;6,9;3,9
Helsingfors Kajsaniemi;2025;1;1;19:30;-3,3;-4,7;Molnigt (7/8);982,8;90;0;5;50000;335;5,9;4
Helsingfors Kajsaniemi;2025;1;1;19:40;-3,4;-4,8;Molnigt (7/8);982,9;90;0;5;50000;338;6,1;3,5
Helsingfors Kajsaniemi;2025;1;1;19:50;-3,4;-4,9;Molnigt (7/8);983,1;90;0;5;50000;334;5,4;3,7
Helsingfors Kajsaniemi;2025;1;1;20:00;-3,5;-4,9;Mulet (8/8);983,1;90;0;5;50000;329;6,8;3,8
Helsingfors Kajsaniemi;2025;1;1;20:10;-3,6;-4,9;Mulet (8/8);983,1;90;0;5;50000;334;5,5;3,8
Helsingfors Kajsaniemi;2025;1;1;20:20;-3,7;-5;Mulet (8/8);983,2;90;0;5;50000;331;5;3,6
